20, 25, 31.5, 40, 50, 63, 80, 100, 125, 160, 200, 250, 315, 400, 500, 630, 800, 1000, 1250, 1600, 2000, 2500, 3150, 4000, 5000, 6300, 8000, 10000, 12500, 16000, 20000
0.002, 0.002, 0.002, 0.003, 0.005, 0.005, 0.006, 0.008, 0.010, 0.011, 0.010, 0.011, 0.014, 0.013, 0.020, 0.021, 0.022, 0.021, 0.024, 0.023, 0.030, 0.030, 0.026, 0.023, 0.029, 0.032, 0.030, 0.031, 0.029, 0.031, 0.037
0.006, 0.006, 0.007, 0.009, 0.010, 0.011, 0.013, 0.015, 0.018, 0.020, 0.023, 0.027, 0.031, 0.036, 0.042, 0.048, 0.055, 0.093, 0.156, 0.263, 0.356, 0.408, 0.460, 0.469, 0.479, 0.489, 0.499, 0.510, 0.520, 0.531, 0.542
